GX304-1_55058,3-5keV,5-12keV,12-20keV
# GX 304-1,Ver 4,2013-2-22,unit:crab,created by Takagi,,
#MJD,3-5keV,error,5-12keV,error,12-20keV,error
#date,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2
55223.255545,-0.000280899,0.00327715,0.00554273,0.0073903,-0.0192825,0.0278027
55224.207360,-0.00131086,0.00411985,0.00658199,0.00923788,-0.00493274,0.0336323
55225.159095,-0.00280899,0.00393258,-0.0017321,0.0095843,0.0300448,0.0367713
55227.157640,-0.00187266,0.00411985,0.00577367,0.00854503,-0.0282511,0.032287
55228.521625,0.00365169,0.00411985,0.0115473,0.0091224,-0.0506726,0.0336323
55229.124315,0.00692884,0.00646067,-0.00461894,0.0120092,-0.026009,0.0430493
55230.488200,0,0.00486891,0.00819861,0.0118938,-0.0632287,0.0399103
55231.503155,0.0147004,0.0153558,0.0185912,0.0318707,-0.0762332,0.125561
55232.517855,-0.00093633,0.00702247,0.0182448,0.0158199,-0.0224215,0.0542601
55233.500790,9.3633e-05,0.00552434,0.0225173,0.0117783,-0.00627803,0.0430493
55234.483830,0.00308989,0.00477528,0.0095843,0.0100462,-0.00134529,0.035426
55235.498515,0.00177903,0.00468165,0.0039261,0.0103926,0.0367713,0.0372197
55236.513120,0.00674157,0.00477528,-0.00034642,0.0102771,0.0246637,0.0376682
55237.477465,0.00524345,0.00505618,-0.00681293,0.0106236,-0.00179372,0.0399103
55238.980590,-0.0118914,0.0093633,0.0108545,0.0325635,-0.0659193,0.0856502
55239.297695,0.00421348,0.00589888,-0.000577367,0.0118938,-0.0255605,0.0408072
55241.769795,-0.00093633,0.00571161,-0.0095843,0.00946882,-0.0282511,0.0390135
55242.593580,0.00159176,0.00337079,-0.00230947,0.00646651,0.0143498,0.0246637
55243.543955,0.00299625,0.00308989,0.00311778,0.0056582,-0.00986547,0.0201794
55244.430835,0.000561798,0.00318352,0.00288684,0.00658199,0,0.0219731
55245.286235,-0.00149813,0.00430712,-0.00842956,0.00750577,0.058296,0.0318386
55246.236515,0.000187266,0.00440075,0.0114319,0.00993072,0.0300448,0.0345291
55247.479125,0.00346442,0.00243446,0.00265589,0.00461894,0.00134529,0.0165919
55248.492975,0.00468165,0.00234082,0.00161663,0.00438799,-0.00493274,0.0156951
55249.508095,-0.000374532,0.00215356,-0.00542725,0.00438799,-0.0121076,0.0156951
55250.523335,0.00355805,0.00215356,0.000923788,0.00450346,-0.0192825,0.0143498
55251.506910,0.00149813,0.00234082,0.00669746,0.00461894,0.00672646,0.0156951
55252.458880,0.00308989,0.00252809,0.00207852,0.00484988,-0.0121076,0.0165919
55253.506135,0.00243446,0.00224719,0.0101617,0.00496536,0.0044843,0.0165919
55254.521740,0.00421348,0.00252809,-0.00115473,0.00484988,-0.00269058,0.0165919
55255.505715,0.000280899,0.00234082,-0.00207852,0.00484988,-0.0179372,0.0165919
55256.489750,0.00402622,0.00243446,0.00311778,0.00473441,0.0165919,0.0170404
55257.505635,-9.3633e-05,0.00280899,0.00461894,0.00542725,0.00044843,0.0183857
55258.521555,0.00290262,0.00243446,-0.000808314,0.00508083,-0.00627803,0.0179372
55259.505800,-0.00131086,0.00290262,-0.00034642,0.00542725,-0.00224215,0.0206278
55260.490070,0.00121723,0.00262172,0.00404157,0.0051963,-0.0116592,0.0174888
55261.506135,0.00402622,0.00280899,0.000461894,0.0051963,0.00986547,0.0192825
